"","uniqueID","err_prop_by_ID","err_count_by_ID","err_in_ID","oct_jump_prop_by_ID","oct_jump_count_by_ID","oct_jump_in_ID"
"1","11749_HARMONY_FFM_Helena_004_hlh",0,0,0,0,0,0
"2","11749_HARMONY_FFM_Helena_011_lhh",0,0,0,0,0,0
"3","11749_HARMONY_FFM_Helena_053_hhh",0,0,0,0,0,0
"4","11749_HARMONY_FFM_Helena_078_hhl",0,0,0,0,0,0
"5","11749_HARMONY_FFM_Helena_118_llh",0.0892857142857143,5,1,0,0,1
"6","11749_HARMONY_FFM_Jeremy_051_lll",0,0,0,0,0,0
"7","11749_HARMONY_FFM_Jeremy_123_hll",0,0,0,0,0,0
"8","11749_HARMONY_FFM_Marilyn_109_lhl",0,0,0,0,0,0
"9","11749_HARMONY_FMF_Helena_052_lhl",0,0,0,0,0,0
"10","11749_HARMONY_FMF_Helena_069_hhl",0,0,0,0,0,0
"11","11749_HARMONY_FMF_Jeremy_092_lhh",0,0,0,0,0,0
"12","11749_HARMONY_FMF_Jeremy_125_hhh",0,0,0,0,0,0
"13","11749_HARMONY_FMF_Marilyn_058_hll",0,0,0,0,0,0
"14","11749_HARMONY_FMF_Marilyn_060_llh",0,0,0,0,0,0
"15","11749_HARMONY_FMF_Marilyn_079_hlh",0,0,0,0,0,0
"16","11749_HARMONY_FMF_Marilyn_087_lll",0,0,0,0,0,0
"17","11749_HARMONY_FMM_Helena_022_llh",0,0,0,0,0,0
"18","11749_HARMONY_FMM_Helena_044_hll",0,0,0,0,0,0
"19","11749_HARMONY_FMM_Helena_088_lhh",0,0,0,0,0,0
"20","11749_HARMONY_FMM_Helena_131_lhl",0,0,0,0,0,0
"21","11749_HARMONY_FMM_Jeremy_101_lll",0,0,0,0,0,0
"22","11749_HARMONY_FMM_Jeremy_102_hhh",0,0,0,0,0,0
"23","11749_HARMONY_FMM_Jeremy_111_hlh",0,0,0,0,0,0
"24","11749_HARMONY_FMM_Marilyn_095_hhl",0,0,0,0,0,0
"25","11749_HARMONY_MFF_Helena_126_hll",0,0,0,0,0,0
"26","11749_HARMONY_MFF_Jeremy_027_lhl",0,0,0,0,0,0
"27","11749_HARMONY_MFF_Jeremy_045_lll",0,0,0,0,0,0
"28","11749_HARMONY_MFF_Jeremy_046_llh",0,0,0,0,0,0
"29","11749_HARMONY_MFF_Jeremy_047_lhh",0,0,0,0,0,0
"30","11749_HARMONY_MFF_Jeremy_122_hhl",0,0,0,0,0,0
"31","11749_HARMONY_MFF_Marilyn_003_hlh",0,0,0,0,0,0
"32","11749_HARMONY_MFF_Marilyn_073_hhh",0,0,0,0,0,0
"33","11749_HARMONY_MFM_Helena_007_hlh",0,0,0,0,0,0
"34","11749_HARMONY_MFM_Helena_042_hhh",0.0392156862745098,2,1,0,0,1
"35","11749_HARMONY_MFM_Helena_075_hhl",0,0,0,0,0,0
"36","11749_HARMONY_MFM_Helena_089_lhh",0,0,0,0,0,0
"37","11749_HARMONY_MFM_Jeremy_025_lll",0,0,0,0,0,0
"38","11749_HARMONY_MFM_Jeremy_036_hll",0,0,0,0,0,0
"39","11749_HARMONY_MFM_Jeremy_048_lhl",0,0,0,0,0,0
"40","11749_HARMONY_MFM_Marilyn_067_llh",0,0,0,0,0,0
"41","11749_HARMONY_MMF_Helena_091_lll",0,0,0,0,0,0
"42","11749_HARMONY_MMF_Helena_142_llh",0,0,0,0,0,0
"43","11749_HARMONY_MMF_Jeremy_098_hhh",0,0,0,0,0,0
"44","11749_HARMONY_MMF_Jeremy_130_lhl",0,0,0,0,0,0
"45","11749_HARMONY_MMF_Jeremy_136_hlh",0,0,0,0,0,0
"46","11749_HARMONY_MMF_Marilyn_026_hhl",0,0,0,0,0,0
"47","11749_HARMONY_MMF_Marilyn_062_hll",0,0,0,0,0,0
"48","11749_HARMONY_MMF_Marilyn_096_lhh",0,0,0,0,0,0
"49","11749_MADELYN_FFM_Helena_009_hll",0,0,0,0,0,0
"50","11749_MADELYN_FFM_Helena_017_hhl",0,0,0,0,0,0
"51","11749_MADELYN_FFM_Helena_099_llh",0,0,0,0,0,0
"52","11749_MADELYN_FFM_Jeremy_001_lll",0,0,0,0,0,0
"53","11749_MADELYN_FFM_Jeremy_013_lhh",0,0,0,0,0,0
"54","11749_MADELYN_FFM_Marilyn_018_hlh",0,0,0,0,0,0
"55","11749_MADELYN_FFM_Marilyn_049_hhh",0,0,0,0,0,0
"56","11749_MADELYN_FFM_Marilyn_065_lhl",0,0,0,0,0,0
"57","11749_MADELYN_FMF_Helena_054_llh",0,0,0,0,0,0
"58","11749_MADELYN_FMF_Helena_110_lhh",0,0,0,0,0,0
